timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42229,2111.505,2.962044054,1.020984676,2.575741372,1.391645272,2.253628678,2.810454649,3.49378846,5.401675869
42230,2111.555,2.963266611,1.021187546,2.575865378,1.390974359,2.254798094,2.811093359,3.494446954,5.402222067
42231,2111.605,2.964495058,1.021398405,2.576019668,1.390537587,2.255613417,2.812972236,3.496799783,5.404571344
42232,2111.655,2.96572809,1.021618344,2.576171457,1.390972973,2.25595712,2.814406078,3.499140198,5.404886547
42233,2111.705,2.966962967,1.021838075,2.576393209,1.393020248,2.256324778,2.816352209,3.501623666,5.405750344
42234,2111.755,2.968205455,1.02205854,2.576652597,1.394133754,2.257259582,2.816528585,3.50384619,5.405980034
42235,2111.805,2.969450019,1.022285014,2.576875566,1.394987909,2.258464246,2.817757752,3.504675138,5.404329829
42236,2111.855,2.970699961,1.022518565,2.577128897,1.395434125,2.259748895,2.819144469,3.505074418,5.407916236
42237,2111.905,2.97195277,1.022760188,2.577381651,1.396161144,2.260835413,2.821816784,3.504231842,5.408563069
42238,2111.955,2.973207347,1.023010443,2.577659742,1.397202626,2.261045686,2.822766734,3.503994371,5.411115748
42239,2112.005,2.974463402,1.023268959,2.57793269,1.396912802,2.26202973,2.824364875,3.507283649,5.413611726
42240,2112.055,2.975723202,1.023533673,2.578280248,1.396790048,2.263191715,2.825397431,3.508779311,5.416312048
42241,2112.105,2.976986871,1.023807755,2.578660082,1.397086878,2.263932154,2.826667209,3.50948878,5.418647158
42242,2112.155,2.978253073,1.02408931,2.579053568,1.399744535,2.264865769,2.828622592,3.511335179,5.418509776
42243,2112.205,2.979524031,1.024378015,2.579460103,1.400119796,2.265363063,2.830063486,3.512878828,5.423656398
42244,2112.255,2.980797059,1.02467167,2.579870879,1.40069833,2.265599883,2.830892747,3.513762264,5.429913395
42245,2112.305,2.982074909,1.024970689,2.58022196,1.40124546,2.266423402,2.831945258,3.515398718,5.43585825
42246,2112.355,2.983357519,1.025277636,2.580600269,1.401863443,2.267243714,2.832404613,3.515920512,5.436971854
42247,2112.405,2.984640359,1.025589266,2.580931514,1.40246196,2.268466481,2.833716476,3.515770051,5.434115459
42248,2112.455,2.985926573,1.025907037,2.581232502,1.403060478,2.269304924,2.834382688,3.518190736,5.433457882
42249,2112.505,2.987215814,1.026230107,2.581424703,1.403658995,2.269658643,2.835240928,3.520252813,5.438704741
42250,2112.555,2.988510174,1.026560734,2.581586011,1.403234378,2.27125947,2.835333952,3.522678022,5.441186616
42251,2112.605,2.989810445,1.02689802,2.581816689,1.402698683,2.272074833,2.837366149,3.524097479,5.443720522
